"","date","BTC","ETH","XRP","BCH","LTC","EOS","BNB","XLM","ADA","TRX","XMR","MIOTA","LINK","DASH","XTZ","ETC","NEO","XEM","DOGE","ZEC","BAT","DCR","QTUM","ZRX","OMG"
"1",2017-10-05,4328.41,295.86,0.237016,355.75,51.67,0.606157,1.68,0.014576,0.021489,0.00332,91.86,0.540915,0.406538,305.4,2.13,11.95,32.28,0.211072,0.001001,254.82,0.232473,30.34,11.86,0.179249,8.8
"2",2017-10-06,4370.81,308.59,0.234039,363.01,52.12,0.599844,1.58,0.018403,0.018539,0.002996,91.19,0.503448,0.475765,306.88,2.18,12.34,33.52,0.211324,0.001056,257.61,0.232911,30.51,11.69,0.199481,8.66
"3",2017-10-07,4426.89,311.12,0.23861,360.78,52.58,0.588553,1.58,0.020959,0.020941,0.002459,91.7,0.538529,0.463657,310.49,2.38,12.28,36.14,0.212189,0.001066,253.98,0.214372,29.88,11.94,0.187759,8.54
"4",2017-10-08,4610.48,308.61,0.279944,342.21,53.14,0.604501,1.22,0.018598,0.020477,0.00253,89.77,0.500032,0.397137,302.48,2.35,12.12,32.07,0.194807,0.001056,241.06,0.192375,27.22,11.14,0.184632,7.7
"5",2017-10-09,4772.02,297.39,0.251825,314.16,50.16,0.557142,1.4,0.017601,0.022114,0.002181,85.49,0.469438,0.380589,283.67,2.32,11.5,29.1,0.194931,0.000991,229.49,0.189483,26.59,12.07,0.186208,7.5
"6",2017-10-10,4781.99,299.87,0.260733,321.59,50.72,0.555214,1.39,0.018953,0.021531,0.002225,86.82,0.477576,0.407469,291.27,2.32,11.54,29.31,0.209909,0.001036,235.65,0.194932,27.84,12.08,0.197963,8.09
"7",2017-10-11,4826.48,303.46,0.264439,314.9,50.89,0.610223,1.43,0.01945,0.02252,0.00247,87.42,0.481464,0.450463,298.4,2.26,11.49,29.96,0.214811,0.001046,236.13,0.192717,27.84,12.13,0.202379,9.26
"8",2017-10-12,5446.91,304.14,0.248414,313.21,60.11,0.591723,1.34,0.017784,0.026252,0.002345,87.09,0.412417,0.444011,291.91,2.47,11.96,28.18,0.206147,0.001062,227,0.190453,28.86,11.29,0.185752,8.2
"9",2017-10-13,5647.21,338.76,0.260489,321.46,59.43,0.58397,1.44,0.01796,0.033641,0.002113,95.13,0.441595,0.434603,310.38,2.44,12.18,29.35,0.211569,0.001066,240.05,0.174872,27.59,11.25,0.199728,8.3
"10",2017-10-14,5831.79,339.63,0.25732,321.96,63.95,0.582836,1.54,0.017522,0.032465,0.002394,100.23,0.457837,0.39186,316.7,2.62,12.26,27.8,0.210581,0.00111,240.89,0.175499,28.15,10.63,0.196873,8.03
